Post_ID,src_org,mentioned,is_own_org
DU6QOvFk9xX,giraffe_conservation,kenyawildlifeservice,0
DU6QOvFk9xX,giraffe_conservation,tawiri_tanzania,0
DU6QOvFk9xX,giraffe_conservation,tanapa,0
DU6QOvFk9xX,giraffe_conservation,tawa_tanzania,0
DU6QOvFk9xX,giraffe_conservation,zcp_zambia,0
DU6QOvFk9xX,giraffe_conservation,ngorongoro_insights,0
DU6QOvFk9xX,giraffe_conservation,savingrwandawildlife,0
DU6QOvFk9xX,giraffe_conservation,ministry_of_environment_nam,1
DU6QOvFk9xX,giraffe_conservation,ewca_eth,0
DU6QOvFk9xX,giraffe_conservation,bewildaid,0
DU6QOvFk9xX,giraffe_conservation,mozwildlifealliance,0
DU6QOvFk9xX,giraffe_conservation,ugwildlife,0
DU6QOvFk9xX,giraffe_conservation,africanparksnetwork,0
DU6QOvFk9xX,giraffe_conservation,thewcs,0
DU6QOvFk9xX,giraffe_conservation,frankfurt.zoological.society,0
DU6QOvFk9xX,giraffe_conservation,mkwc_ke,0
DT-JQYiimAB,namyouthchamber,rural_power_solutions_na,0
DUQylVEiPWw,namibia_nature_foundation,namyouthchamber,1
DUOesl5jXwq,giraffe_conservation,savannaimages,0
DT8dIW2iCC3,giraffe_conservation,c1112,0
DUbWq9sk2fR,giraffe_conservation,c0958,0
DTqbkOCjdCj,giraffe_conservation,rememberingwildlife,0
DUoOpqdjEUM,giraffe_conservation,pro.namib,0
DUggSmvjmH0,giraffe_conservation,mozwildlifealliance,0
DUggSmvjmH0,giraffe_conservation,parquenacionaldemaputo,0
DUggSmvjmH0,giraffe_conservation,sabiegame,0
DUggSmvjmH0,giraffe_conservation,peaceparks,0
DRFUHr8DPls,africat_foundation,pascal__ok,0
DRkL8DrjBZz,africat_foundation,pascal__ok,0
DW69EwJESBc,ccfcheetah,simonsquibb,0
DTibOjAjHCe,africat_foundation,pascal__ok,0
DRhp-g_DJMg,africat_foundation,pascal__ok,0
DUJVGkOjxSn,giraffe_conservation,martin_harvey_photography,0
DWouAPSEVB9,ccfcheetah,c0969,0
DWl7H61DbCB,ccfcheetah,c0969,0
DRKInR5DE1a,namyouthchamber,c0862,0
DUDf5d4DUm_,tosconamibia,tosco.org,0
DSvNTG6DxNi,giraffe_conservation,felixrome_,0
DSvNTG6DxNi,giraffe_conservation,governorscampcollection,0
DS8FQVIjdpH,giraffe_conservation,felixrome_,0
DS8FQVIjdpH,giraffe_conservation,governorscampcollection,0
DS-qEVPADma,giraffe_conservation,gurcharan,0
DTBO21Djf01,giraffe_conservation,c0974,0
DTgIY48D2Bx,giraffe_conservation,kaza.tfca,0
DTYZ__3jMEy,giraffe_conservation,africanparksnetwork,0
