Post_ID,hashtag,tag_class
DSpvIk3DMXZ,africat,branded
DSpvIk3DMXZ,research,community_other
DSpvIk3DMXZ,brownhyena,community_other
DSpvIk3DMXZ,hyena,community_other
DSpvIk3DMXZ,conservation,generic
DXe7m2rEo4m,travel,generic
DXe7m2rEo4m,namibia,generic
DXe7m2rEo4m,explore,community_other
DXe7m2rEo4m,conservation,generic
DXe7m2rEo4m,ccfcheetah,branded
DXr5rGXmV5m,cheetah,branded
DXr5rGXmV5m,cheetahconservation,branded
DXr5rGXmV5m,wildlifeconservation,community_other
DXr5rGXmV5m,bigcats,community_other
DXr5rGXmV5m,ccfcheetah,branded
DW3oE3qFjbF,naankuse,branded
DW3oE3qFjbF,namibia,generic
DWjZfpulh0r,naankuse,branded
DWjZfpulh0r,conservationinaction,community_other
DSVJ6XUDP5G,africat,branded
DSVJ6XUDP5G,okonjima,community_other
DSVJ6XUDP5G,research,community_other
DSVJ6XUDP5G,leopard,community_other
DSVJ6XUDP5G,conservation,generic
DSVJ6XUDP5G,wildlifeencounters,community_other
DWZose4CUA7,naankuse,branded
DWZose4CUA7,naankusefoundation,branded
DWZose4CUA7,kyknet,community_other
DWZose4CUA7,groennamibie,community_other
DWZose4CUA7,conservation,generic
DWs8j4KATCm,naankuse,branded
DWs8j4KATCm,kanaandesertretreat,community_other
DS2oMpeDIjB,africat,branded
DS2oMpeDIjB,research,community_other
DS2oMpeDIjB,leopard,community_other
DS2oMpeDIjB,hyena,community_other
DS2oMpeDIjB,conservation,generic
DS2oMpeDIjB,okonjima,community_other
DVeTWHdlzyU,giraffeconservationfoundation,branded
DVeTWHdlzyU,giraffebehaviour,branded
DVeTWHdlzyU,giraffe,branded
DVeTWHdlzyU,activitypatterns,community_other
DVeTWHdlzyU,beattheheat,community_other
DVeTWHdlzyU,landscapemovement,community_other
DVeTWHdlzyU,giraffeadaptations,branded
DVeTWHdlzyU,aridenvironments,community_other
DVeTWHdlzyU,gcf,community_other
DTGPqHUjOPo,africat,branded
DTGPqHUjOPo,okonjima,community_other
DTGPqHUjOPo,leopard,community_other
DTGPqHUjOPo,conservationscience,community_other
DTGPqHUjOPo,wildliferesearch,community_other
DUtYO6nDaS4,giraffeconservationfoundation,branded
DUtYO6nDaS4,giraffe,branded
DUtYO6nDaS4,giraffelovers,branded
DUtYO6nDaS4,nature,generic
DUtYO6nDaS4,giraffebeauty,branded
DUtYO6nDaS4,fridaymood,campaign
DUtYO6nDaS4,tgif,community_other
DUtYO6nDaS4,thankgiraffeitsfriday,campaign
DUtYO6nDaS4,gcf,community_other
DWn5r-flixF,naankuse,branded
DWn5r-flixF,timbila,community_other
